sensor_id,oid,timestamp,Trash_type
351,49,2019-10-02 02:12:00,Landfill
351,56,2019-10-26 19:09:00,Compost
351,235,2019-10-02 23:01:00,Compost
351,245,2019-10-03 05:11:00,Recycle
351,266,2019-10-10 19:05:00,Compost
351,269,2019-10-18 12:04:00,Recycle
351,349,2019-10-15 16:08:00,Landfill
351,385,2019-10-28 12:01:00,Recycle
351,520,2019-10-14 20:06:00,Landfill
351,588,2019-10-05 00:12:00,Compost
351,628,2019-10-17 18:07:00,Landfill
351,797,2019-10-29 08:06:00,Compost
351,803,2019-10-19 04:01:00,Recycle
351,835,2019-10-20 18:06:00,Recycle
351,1101,2019-10-25 19:10:00,Landfill
351,1109,2019-10-05 21:09:00,Compost
351,1345,2019-10-02 20:01:00,Compost
351,1499,2019-10-24 01:10:00,Landfill
351,1553,2019-10-12 15:11:00,Landfill
351,1750,2019-10-10 20:04:00,Landfill
351,1794,2019-10-01 05:08:00,Landfill
351,1886,2019-10-03 19:10:00,Landfill
351,1933,2019-10-15 06:09:00,Recycle
351,1998,2019-10-29 22:05:00,Compost
351,2067,2019-10-03 13:01:00,Recycle
351,2132,2019-10-28 16:10:00,Compost
351,2373,2019-10-06 05:06:00,Compost
351,2567,2019-10-28 07:05:00,Landfill
351,2669,2019-10-23 21:11:00,Landfill
351,2733,2019-10-31 21:10:00,Recycle
351,2798,2019-10-28 15:04:00,Compost
351,3041,2019-10-17 19:04:00,Recycle
351,3068,2019-10-20 09:11:00,Landfill
351,3110,2019-10-15 00:02:00,Recycle
351,3257,2019-10-10 17:09:00,Landfill
351,3402,2019-10-24 13:12:00,Recycle
351,3439,2019-10-22 20:05:00,Recycle
351,3510,2019-10-11 20:03:00,Compost
351,3806,2019-10-23 04:04:00,Compost
351,3814,2019-10-14 11:04:00,Landfill
351,3906,2019-10-04 01:07:00,Compost
351,4019,2019-10-02 04:06:00,Compost
351,4099,2019-10-22 15:03:00,Compost
351,4477,2019-10-06 20:08:00,Compost
351,5124,2019-10-03 23:11:00,Recycle
351,5595,2019-10-03 11:04:00,Recycle
351,5612,2019-10-28 16:08:00,Recycle
351,5698,2019-10-01 21:09:00,Landfill
351,5833,2019-10-09 10:07:00,Landfill
351,5857,2019-10-26 10:12:00,Landfill
351,6018,2019-10-14 17:06:00,Landfill
351,6052,2019-10-23 16:12:00,Landfill
351,6130,2019-10-31 20:10:00,Compost
351,6484,2019-10-07 08:06:00,Landfill
351,6596,2019-10-02 13:08:00,Recycle
351,6932,2019-10-29 16:10:00,Compost
351,6971,2019-10-05 00:12:00,Compost
351,7313,2019-10-07 02:09:00,Landfill
351,7426,2019-10-02 16:06:00,Compost
351,7672,2019-10-21 04:08:00,Recycle
351,7731,2019-10-12 07:02:00,Compost
351,7963,2019-10-17 17:05:00,Landfill
351,8011,2019-10-14 22:12:00,Landfill
351,8226,2019-10-13 09:11:00,Recycle
351,8280,2019-10-19 10:11:00,Recycle
351,8415,2019-10-05 02:09:00,Compost
351,8505,2019-10-03 11:08:00,Recycle
351,8729,2019-10-31 07:10:00,Recycle
351,8859,2019-10-04 03:02:00,Compost
351,9162,2019-10-02 18:03:00,Recycle
351,9173,2019-10-08 05:09:00,Landfill
351,9354,2019-10-25 02:11:00,Recycle
351,9358,2019-10-03 15:02:00,Compost
351,9520,2019-10-29 18:05:00,Recycle
351,9562,2019-10-31 11:03:00,Compost
