sensor_id,oid,timestamp,Weight
201,140,2019-10-07 04:11:00,14091
201,438,2019-10-18 09:09:00,33941
201,468,2019-10-14 13:05:00,6981
201,583,2019-10-01 23:12:00,51253
201,653,2019-10-07 12:12:00,11360
201,675,2019-10-22 02:01:00,42283
201,1189,2019-10-01 14:11:00,35973
201,1224,2019-10-03 19:10:00,28235
201,1311,2019-10-04 12:06:00,33653
201,2209,2019-10-22 16:04:00,57688
201,2549,2019-10-17 17:02:00,21547
201,3221,2019-10-31 10:05:00,39561
201,3325,2019-10-21 18:02:00,30333
201,3334,2019-10-22 00:06:00,11200
201,3467,2019-10-28 22:11:00,43342
201,3615,2019-10-19 02:10:00,51496
201,3629,2019-10-29 19:03:00,27517
201,3958,2019-10-22 03:12:00,4145
201,4095,2019-10-09 00:04:00,26339
201,4477,2019-10-28 07:09:00,51934
201,4560,2019-10-30 06:05:00,44857
201,4707,2019-10-01 03:04:00,59475
201,4963,2019-10-16 18:01:00,21269
201,4994,2019-10-21 06:06:00,11403
201,5174,2019-10-29 07:03:00,10358
201,5205,2019-10-29 10:01:00,33441
201,5352,2019-10-18 04:03:00,29668
201,5380,2019-10-31 15:08:00,4117
201,5382,2019-10-28 18:02:00,12790
201,5457,2019-10-17 16:05:00,54574
201,5770,2019-10-23 01:01:00,55569
201,5810,2019-10-09 22:06:00,3049
201,5820,2019-10-01 13:01:00,4340
201,6242,2019-10-07 14:07:00,39321
201,6337,2019-10-08 14:07:00,47508
201,6460,2019-10-10 20:03:00,37206
201,6497,2019-10-12 09:03:00,3732
201,6555,2019-10-03 00:09:00,5207
201,6719,2019-10-18 17:10:00,15962
201,6779,2019-10-05 00:04:00,32431
201,6816,2019-10-09 23:05:00,10831
201,6970,2019-10-05 06:09:00,52753
201,7277,2019-10-09 04:05:00,56008
201,7417,2019-10-07 22:01:00,40676
201,7470,2019-10-16 18:02:00,9488
201,7543,2019-10-26 02:11:00,1016
201,7597,2019-10-26 20:09:00,15269
201,7666,2019-10-29 10:10:00,57715
201,7888,2019-10-23 02:04:00,5861
201,8033,2019-10-13 21:02:00,32352
201,8109,2019-10-14 23:01:00,16191
201,8231,2019-10-07 05:06:00,8494
201,8409,2019-10-12 22:12:00,38996
201,8414,2019-10-26 06:03:00,44562
201,8571,2019-10-07 03:07:00,59472
201,8697,2019-10-01 09:07:00,36145
201,8802,2019-10-06 14:08:00,15385
201,9133,2019-10-06 16:03:00,20775
201,9248,2019-10-31 07:10:00,42286
201,9434,2019-10-10 23:02:00,58218
201,10021,2019-10-14 21:02:00,59282
201,10103,2019-10-26 03:10:00,8953
201,10195,2019-10-13 14:05:00,1627
201,10323,2019-10-20 21:06:00,46384
201,10401,2019-10-06 00:10:00,48104
201,10442,2019-10-09 08:05:00,31088
201,10588,2019-10-24 18:04:00,47856
201,10605,2019-10-16 17:05:00,15842
201,10822,2019-10-12 16:06:00,13800
201,11146,2019-10-31 03:08:00,56469
201,11477,2019-10-27 11:02:00,32689
201,11950,2019-10-22 01:09:00,45104
201,11967,2019-10-20 14:01:00,47131
201,11979,2019-10-08 06:08:00,44124
201,12016,2019-10-02 06:12:00,4212
201,12017,2019-10-13 12:03:00,30989
201,12152,2019-10-01 01:04:00,18210
201,12297,2019-10-10 16:06:00,11175
201,12351,2019-10-20 11:11:00,49957
201,12486,2019-10-08 13:12:00,33876
201,12535,2019-10-03 03:10:00,14350
201,12954,2019-10-10 14:11:00,12124
201,13127,2019-10-25 05:07:00,39659
201,13168,2019-10-20 02:06:00,21720
201,13382,2019-10-08 01:10:00,29268
201,14294,2019-10-18 01:06:00,5446
201,14387,2019-10-10 16:12:00,55105
201,14476,2019-10-02 01:11:00,24420
201,14733,2019-10-18 21:11:00,58349
201,14895,2019-10-19 18:05:00,56381
201,15378,2019-10-28 13:03:00,52217
201,15619,2019-10-13 02:01:00,32316
201,15954,2019-10-30 15:08:00,52169
201,15965,2019-10-17 19:05:00,23142
201,16351,2019-10-25 15:07:00,15634
201,16472,2019-10-08 12:06:00,42645
201,16872,2019-10-17 05:09:00,53969
201,16909,2019-10-15 20:09:00,30457
201,17025,2019-10-04 03:04:00,52272
201,17285,2019-10-15 04:09:00,22353
201,17407,2019-10-29 13:07:00,33733
201,17442,2019-10-25 01:08:00,38644
201,17542,2019-10-25 13:11:00,3678
201,17915,2019-10-25 13:02:00,26889
201,18102,2019-10-07 12:06:00,59897
201,18207,2019-10-12 14:01:00,43553
201,18369,2019-10-19 16:11:00,54893
201,18378,2019-10-06 02:12:00,29379
201,18538,2019-10-27 21:06:00,8982
201,18571,2019-10-20 07:06:00,6301
201,18701,2019-10-06 10:05:00,27086
201,18928,2019-10-06 00:09:00,54777
201,19118,2019-10-02 11:10:00,51920
201,19276,2019-10-27 10:02:00,32238
201,19423,2019-10-24 18:05:00,21543
201,19542,2019-10-26 11:08:00,51883
201,19544,2019-10-30 17:12:00,16225
201,19601,2019-10-06 20:12:00,48115
201,19684,2019-10-24 11:07:00,42184
201,19686,2019-10-16 04:01:00,59864
201,19980,2019-10-27 01:03:00,20516
201,20385,2019-10-22 01:12:00,5467
201,20418,2019-10-13 02:04:00,47160
201,21619,2019-10-30 14:08:00,41189
201,21760,2019-10-08 07:12:00,49204
201,21938,2019-10-20 09:08:00,8537
201,21946,2019-10-19 10:08:00,36609
201,22029,2019-10-25 04:04:00,32286
201,22278,2019-10-23 02:12:00,29648
201,22328,2019-10-14 06:08:00,42227
201,22592,2019-10-06 05:09:00,38835
201,22998,2019-10-25 10:02:00,11278
201,23017,2019-10-11 10:03:00,57302
201,23025,2019-10-02 11:03:00,1487
201,23120,2019-10-20 02:09:00,38981
201,23234,2019-10-22 22:10:00,34888
201,23376,2019-10-06 09:07:00,34692
201,23479,2019-10-04 08:03:00,16683
201,23546,2019-10-09 10:12:00,25790
201,23563,2019-10-24 23:05:00,30955
201,23673,2019-10-21 15:05:00,8310
201,23678,2019-10-02 14:09:00,31977
201,23711,2019-10-01 03:10:00,6445
201,23960,2019-10-09 18:05:00,44206
201,24169,2019-10-25 07:01:00,43806
201,24222,2019-10-31 01:01:00,8929
201,24467,2019-10-06 12:07:00,43779
201,24553,2019-10-20 04:05:00,57208
201,24875,2019-10-05 14:07:00,52911
201,24959,2019-10-29 04:10:00,38735
201,25062,2019-10-29 19:08:00,55586
201,25085,2019-10-25 15:03:00,22459
201,25274,2019-10-14 19:05:00,30910
201,25307,2019-10-30 11:03:00,50265
201,25338,2019-10-14 17:06:00,49655
201,25405,2019-10-17 17:09:00,16560
